|               RA |              Dec |           Object ID |
| 143.457365995507 |  55.182770117969 | 1237654382516699294 |
| 143.457365995507 |  55.182770117969 | 1237654382516699294 |
| 143.523019562072 | 55.1575708026681 | 1237653613185990870 |
| 143.645681441118 | 55.1057931342978 | 1237653613185990816 |
| 143.450332389465 | 55.3129977842026 | 1237654382516699226 |
|  143.68143328872 | 55.1292534452513 | 1237653613186056391 |
| 143.508473305513 | 55.2410533687252 | 1237654382516699209 |
| 143.612538358036 | 55.1093370583141 | 1237653613185990814 |
| 143.364665842631 | 55.4028025273637 | 1237653613722927217 |
| 143.509956085638 | 55.2397619058072 | 1237654382516699210 |
| 143.392993994672 | 55.1738806685948 | 1237654382516699256 |
| 143.453986405299 |  55.360372742734 | 1237654382516765031 |
| 143.452750155552 | 55.4153602764213 | 1237654382516765105 |
| 143.475929198398 | 55.1659399346216 | 1237653613185991149 |
| 143.477099929609 | 55.3948974909513 | 1237654382516765101 |
| 143.489066841665 | 55.0547434063168 | 1237653613185990762 |
| 143.419319041518 | 55.1830563117285 | 1237654382516699358 |
| 143.615943107239 | 55.0844643133551 | 1237653613185990846 |
| 143.615597781244 | 55.4021817545558 | 1237654382516765265 |
| 143.708336784953 |  55.165458670915 | 1237653613186056812 |
| 143.359796217168 | 55.2353873036763 | 1237654382516699547 |
| 143.497288048892 | 55.2640784487058 | 1237654382516699218 |
| 143.357910048764 |  55.178331776119 | 1237654382516699418 |
| 143.321555893253 | 55.2979950622616 | 1237654382516699587 |
| 143.333200831612 | 55.4183992744505 | 1237653613722927513 |
| 143.334452911019 | 55.2613748318017 | 1237654382516699285 |
